height (cm), viscosity (Pa*s)
19.560939530234883, 1.2659124354204219
19.53997376311844, 1.2669406398296688
19.521027819423622, 1.2669050751156545
19.502782873269247, 1.2692014715339892
19.483492371461328, 1.2708012607725478
19.479347741859407, 1.2707004727676987
19.47125937031484, 1.2720095455478677
19.453407644004084, 1.2706287504435663
19.408136067101584, 1.271240095533941
19.39758303946618, 1.2734638804257143
19.387510362465825, 1.2753207016472645
19.386202142831024, 1.27669297599043
19.333971670880977, 1.276655772925809
19.330433307936197, 1.2776682277776448
19.31793979414787, 1.2778628801092828
19.30506829918374, 1.2777674044005989
19.283720054866183, 1.2794660126403008
19.254411127769448, 1.279954474102933
19.235948638583935, 1.280779954253169
19.23073302634397, 1.2813975862857636
19.22004719862291, 1.2813851887821124
19.21858878253181, 1.2803160280559502
19.217887507858972, 1.2813674038843077
19.208808564467766, 1.2821712493971227
19.156651674162916, 1.2834767735134622
19.11384691216036, 1.2843714973205917
19.111472263868066, 1.2846493530262864
19.097996001999, 1.2840569731851914
19.07606071964018, 1.2844964103096508
19.071755306557247, 1.284191137145798
19.05640379810095, 1.2848058647481748
19.051338080959518, 1.2850291982991164
19.00877889413502, 1.284970113304737
19.00484679535232, 1.2852219739118347
18.99825712143928, 1.2856456473785551
18.98497458037898, 1.2868958079000345
18.962408185220365, 1.2874637095891504
18.956278975896666, 1.2876496205864478
18.9132916674193, 1.2875244347048214
18.894097713048236, 1.2891285788972602
18.887021054690045, 1.2895597955181664
18.881252315018962, 1.2902604092399426
18.84118392416695, 1.2890999560669532
18.827380059970015, 1.2891115832249291
18.802225896397594, 1.290955285185164
18.796906898663345, 1.2918790101272224
18.77895836697036, 1.292040161963643
18.765258370814593, 1.293694116178686
18.759029235382307, 1.292393989674149
18.72891203047125, 1.2928218425515774
18.718644535999715, 1.294318346006778
18.70633608195902, 1.2932721085673176
18.703649406066198, 1.293949691137143
18.68564838459891, 1.29479971086741
18.667854406130267, 1.29648124113137
18.641485492547844, 1.2947832435340856
18.601377977677828, 1.2951305588214663
18.597632079482647, 1.2969576354804337
18.572340145716616, 1.2972410797655713
18.57222788605697, 1.2970731399786584
18.570239069654363, 1.2972581472250764
18.56902848575712, 1.297532134876278
18.525894402196492, 1.2974619313548141
18.496426709722062, 1.2976425920607633
18.475845952023988, 1.2972235403206651
18.466313410458948, 1.2993254490584172
18.46295606043132, 1.300655432033084
18.445623045620046, 1.3024266296381497
18.443815592203897, 1.3017330924762633
18.422399366354558, 1.3016819715419687
18.410958114692654, 1.3011671171557024
18.401115132089128, 1.3017446564793396
18.370626168397283, 1.3034446200093772
18.343699293210538, 1.3038194367185418
18.32611552714209, 1.3058821996736738
18.30384600803047, 1.3044383390968126
18.296691654172914, 1.3063019312966122
18.286582551420917, 1.307334838932227
18.27057014349968, 1.3073804409115177
18.251488005997, 1.306527788007373
18.241554384098272, 1.3067699124290442
18.223493253373313, 1.3080157822495726
18.20984875209454, 1.3087056266921262
18.201550463706198, 1.3091651626840943
18.195498500749625, 1.3110136472179243
18.142834687919198, 1.312221574055447
18.142607006355977, 1.312307895461706
18.113799528807025, 1.3122771575185392
18.10151611694153, 1.3119473494297262
18.094062968515743, 1.3105011874581132
18.087387617666575, 1.3108662562841744
18.075021083208394, 1.3136786895633306
18.06777560586795, 1.3151889739951657
18.016016991504248, 1.315785291133452
18.009625648714103, 1.3168363597451749
17.987322467798357, 1.3166812202288702
17.97869065467266, 1.3172530976710004
17.97394002998501, 1.3161461328233457
17.94142646625405, 1.317667238896873
17.93077619085194, 1.3188624668158533
17.904822826681897, 1.3165904234646406
17.904291546534424, 1.3158516863393916
17.903553223388304, 1.316505156188338
17.90209895052474, 1.3183592620628641
17.831388972180577, 1.317928968611826
17.817169415292355, 1.317142789846094
17.81545706020229, 1.3183308587798985
17.811183440537796, 1.3175214161909576
17.79067297337247, 1.3190852131875035
17.78137322643026, 1.3177255149939215
17.763642940434544, 1.3174959965146904
17.744621974726922, 1.3181905570253578
17.715066814418876, 1.3193871230557759
17.709989505247375, 1.3207764322571383
17.689866961256214, 1.3216466651019825
17.686129188926664, 1.3214728404592717
17.680661669165417, 1.3211442285645385
17.652933533233384, 1.3207429573710527
17.61250330058851, 1.321431810453111
17.60542728635682, 1.3234430848293852
17.60184233464663, 1.32389790040805
17.5978962304562, 1.323839983948201
17.5836131934033, 1.3256813015580498
17.57413348881115, 1.3245552191189909
17.53232383808096, 1.3237259583027179
17.51551167273506, 1.3238733669409857
17.498064011472525, 1.3248378024087464
17.469040074557316, 1.3252514552652195
17.46824087956022, 1.32771693479514
17.445934082139257, 1.3266271765658175
17.441417624521073, 1.3272272696736727
17.42276145391871, 1.3265922613728562
17.422373575117202, 1.3275179558032768
17.416229933813582, 1.3286340783969246
17.379436410826845, 1.329170390444002
17.35768293935224, 1.3290644378388274
17.34822874277147, 1.3283474294316997
17.316026986506746, 1.3293073974889213
17.309507268837493, 1.3283050016076368
17.291022875658946, 1.3280169484635276
17.270529021203682, 1.329695402178204
17.26255709354625, 1.3306134063488564
17.253008495752123, 1.3304343447354463
17.245335137309393, 1.331518955256069
17.23124680902792, 1.3306973189086302
17.228269963378967, 1.3311337205427907
17.184158655966133, 1.3304549146389133
17.169167800715027, 1.330667924875889
17.15169415292354, 1.330606560494453
17.13569715142429, 1.3311373892821798
17.12829555371568, 1.330668146685384
17.11673774223999, 1.3317257213207936
17.086916171543855, 1.3341445685958768
17.08357788847512, 1.3342313730159312
17.082783992619074, 1.3346491344778897
17.04264417087231, 1.3352765895481469
