height (cm), viscosity (Pa*s)
20.54047830923248, 1.2494922325005424
20.512411583681843, 1.1672262713292836
20.503700768663286, 1.1472330715326933
20.476288377550354, 1.1389627592441696
20.467851788391517, 1.3232307604554487
20.458844370917987, 1.1180048435722523
20.453812041347746, 1.3276219136666731
20.423808095952023, 1.1873235180654444
20.40946947578842, 1.2171604016530142
20.35768145339095, 1.1069422015599681
20.34951059123903, 1.2525471594116397
20.34737421986681, 1.215960313538266
20.338365655881734, 1.1797019185984863
20.31678204376073, 1.2990711083926478
20.303847494857223, 1.359970055745664
20.29357714401226, 1.1168406659416878
20.287648718013873, 1.2599328909104623
20.24470169677066, 1.2648821969278474
20.244447776111944, 1.360328773243167
20.236408257409757, 1.156484222456585
20.219354440426844, 1.3379974390593077
20.17600639240819, 1.2346603435067318
20.137420218462196, 1.2608228108083517
20.13081390339313, 1.1223827382117928
20.1280774318723, 1.2187633933536572
20.118276554030675, 1.32879401632234
20.096630521948327, 1.2484221868256788
20.09544713357607, 1.2737869747101378
20.080261497158396, 1.354581737323516
20.07848439416655, 1.2142660054969097
20.019474072487565, 1.2599586376989023
20.018537069493423, 1.1521728131415518
20.01693486590038, 1.240413241164647
19.980456233421748, 1.2958465483000412
19.967166416791603, 1.1242247854770024
19.94743179811963, 1.2782620153630326
19.92717391304348, 1.3513025236403198
19.91384307846077, 1.3106952424585008
19.907476112689924, 1.239692581758809
19.89761423636008, 1.126600919247012
19.85606636242318, 1.254350468593464
19.835381594916825, 1.2729497209783176
19.805227540076114, 1.388665415288866
19.80493800158744, 1.112931266127934
19.798021650939233, 1.1966136551331616
19.785867066466764, 1.3805619222257521
19.782842757725614, 1.2051466484096716
19.76360017793301, 1.370195122057415
19.738587039813424, 1.3251217507122157
19.733960129310343, 1.2997776404758563
19.716213455772113, 1.339816122675847
19.70054972513743, 1.2555113610534403
19.67728135932034, 1.196618144321467
19.63798367482925, 1.1252110738989687
19.62192880304034, 1.4861595497229791
19.606991504247876, 1.2444319543308917
19.598735476011992, 1.1965884897937813
19.580979980597935, 1.296946312565952
19.575888407147776, 1.3552118852503965
19.560939530234883, 1.1860857712742148
19.53997376311844, 1.2624809984547105
19.521027819423622, 1.2270920466946278
19.502782873269247, 1.2683338143704344
19.483492371461328, 1.328697270555238
19.479347741859407, 1.1447110471840312
19.47125937031484, 1.3151968432650785
19.453407644004084, 1.1699164324622016
19.408136067101584, 1.258513839833556
19.39758303946618, 1.3433498169090845
19.387510362465825, 1.2404660199557014
19.386202142831024, 1.2348363288403408
19.333971670880977, 1.1274340812001757
19.330433307936197, 1.2970208694233474
19.31793979414787, 1.1353028514255197
19.30506829918374, 1.4069690136881623
19.283720054866183, 1.207937505002338
19.254411127769448, 1.244391603098968
19.235948638583935, 1.3386729634586518
19.23073302634397, 1.3006606187699545
19.22004719862291, 1.3313219370422864
19.21858878253181, 1.2033348739115983
19.217887507858972, 1.206286061786975
19.208808564467766, 1.2826430213456606
19.156651674162916, 1.1460044508999196
19.11384691216036, 1.269834960741692
